Bisection Method
n	x			f(x)			approx. error
0	2.0000		-0.4000			----
1	1.5000		1.9750			0.3333
2	1.7500		0.8625			0.1429
3	1.8750		0.2383			0.0667
4	1.9375		-0.0806			0.0323
5	1.9062		0.0791			0.0164
6	1.9219		-0.0007			0.0081
7	1.9141		0.0392			0.0041
8	1.9180		0.0193			0.0020
9	1.9199		0.0093			0.0010
10	1.9209		0.0043			0.0005
11	1.9214		0.0018			0.0003
12	1.9216		0.0006			0.0001
13	1.9218		-0.0001			0.0001

Newton-Raphson Method
n	x			f(x)			approx. error
0	1.5000		1.9750			----
1	2.0064		-0.4327			0.2524
2	1.9215		0.0012			0.0442
3	1.9217		-0.0000			0.0001
4	1.9217		0.0000			0.0000

Secant Method
n	x			f(x)			approx. error
0	1.0000		3.0000			----
1	1.9677		-0.2352			0.4918
2	1.8974		0.1244			0.0371
3	1.9217		0.0001			0.0127
4	1.9217		-0.0000			0.0000

False-Postition Method
n	x			f(x)			approx. error
0	1.9677		-0.2352			----
1	1.8974		0.1244			0.0371
2	1.9217		0.0001			0.0127
3	1.9217		0.0000			0.0000

Modified Secant Method
n	x			f(x)			approx. error
0	1.5000		1.9750			----
1	2.0013		-0.4064			0.2505
2	1.9214		0.0015			0.0415
3	1.9217		0.0000			0.0002
4	1.9217		0.0000			0.0000
